TABLE_NAME	INDEX_NAME	COLUMN_NAME	SEQ_IN_INDEX
iot_patrol_route	uk_route_code	route_code	1
iot_patrol_route	uk_route_code	deleted	2
iot_patrol_route	uk_route_code	tenant_id	3
iot_service_config	uk_product_service	product_key	1
iot_service_config	uk_product_service	service_identifier	2
iot_service_config	uk_product_service	deleted	3
iot_subsystem	uk_code	code	1
iot_subsystem	uk_code	deleted	2
iot_ui_component_template	uk_component_type	component_type	1
iot_video_patrol_plan	uk_plan_code	plan_code	1
iot_video_patrol_plan	uk_plan_code	deleted	2
iot_video_patrol_plan	uk_plan_code	tenant_id	3
iot_video_patrol_point	uk_point_code	point_code	1
iot_video_patrol_point	uk_point_code	deleted	2
iot_video_patrol_point	uk_point_code	tenant_id	3
iot_video_patrol_task	uk_task_code	task_code	1
iot_video_patrol_task	uk_task_code	deleted	2
iot_video_patrol_task	uk_task_code	tenant_id	3
security_face_capture	uk_capture_no	capture_no	1
security_statistics	uk_stat_date_hour_type	stat_date	1
security_statistics	uk_stat_date_hour_type	stat_hour	2
security_statistics	uk_stat_date_hour_type	stat_type	3
security_statistics	uk_stat_date_hour_type	tenant_id	4
security_vehicle_capture	uk_capture_no	capture_no	1
security_video_analysis_alarm	uk_alarm_no	alarm_no	1
